"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"220006","Total number of national feature films produced","BIH","Bosnia and Herzegovina","2012","2012",2,"‡","UIS Estimation"
"220006","Total number of national feature films produced","BIH","Bosnia and Herzegovina","2013","2013",11,"‡","UIS Estimation"
"220006","Total number of national feature films produced","BIH","Bosnia and Herzegovina","2014","2014",24,,
"220006","Total number of national feature films produced","BIH","Bosnia and Herzegovina","2015","2015",14,,
"220006","Total number of national feature films produced","BGR","Bulgaria","2005","2005",9,,
"220006","Total number of national feature films produced","BGR","Bulgaria","2006","2006",12,,
"220006","Total number of national feature films produced","BGR","Bulgaria","2007","2007",8,,
"220006","Total number of national feature films produced","BGR","Bulgaria","2008","2008",9,,
"220006","Total number of national feature films produced","BGR","Bulgaria","2009","2009",18,,
"220006","Total number of national feature films produced","BGR","Bulgaria","2010","2010",15,,
"220006","Total number of national feature films produced","BGR","Bulgaria","2011","2011",15,,
"220006","Total number of national feature films produced","BGR","Bulgaria","2012","2012",19,,
"220006","Total number of national feature films produced","BGR","Bulgaria","2013","2013",15,,
"220006","Total number of national feature films produced","BGR","Bulgaria","2014","2014",13,,
"220006","Total number of national feature films produced","BGR","Bulgaria","2015","2015",25,,
"220006","Total number of national feature films produced","HRV","Croatia","2005","2005",2,,
"220006","Total number of national feature films produced","HRV","Croatia","2006","2006",2,,
"220006","Total number of national feature films produced","HRV","Croatia","2007","2007",13,,
"220006","Total number of national feature films produced","HRV","Croatia","2008","2008",13,,
"220006","Total number of national feature films produced","HRV","Croatia","2009","2009",7,,
"220006","Total number of national feature films produced","HRV","Croatia","2010","2010",7,,
"220006","Total number of national feature films produced","HRV","Croatia","2011","2011",9,,
"220006","Total number of national feature films produced","HRV","Croatia","2012","2012",22,,
"220006","Total number of national feature films produced","HRV","Croatia","2013","2013",26,,
"220006","Total number of national feature films produced","HRV","Croatia","2014","2014",16,"‡","UIS Estimation"
"220006","Total number of national feature films produced","HRV","Croatia","2015","2015",14,"‡","UIS Estimation"
"220006","Total number of national feature films produced","CYP","Cyprus","2005","2005",1,,
"220006","Total number of national feature films produced","CYP","Cyprus","2006","2006",4,,
"220006","Total number of national feature films produced","CYP","Cyprus","2007","2007",2,,
"220006","Total number of national feature films produced","CYP","Cyprus","2008","2008",1,,
"220006","Total number of national feature films produced","CYP","Cyprus","2009","2009",2,,
"220006","Total number of national feature films produced","CYP","Cyprus","2010","2010",4,,
"220006","Total number of national feature films produced","CYP","Cyprus","2011","2011",3,,
"220006","Total number of national feature films produced","CYP","Cyprus","2012","2012",2,,
"220006","Total number of national feature films produced","CYP","Cyprus","2013","2013",2,,
"220006","Total number of national feature films produced","CYP","Cyprus","2014","2014",2,,
"220006","Total number of national feature films produced","CYP","Cyprus","2015","2015",4,,
"220006","Total number of national feature films produced","EST","Estonia","2005","2005",8,,
"220006","Total number of national feature films produced","EST","Estonia","2006","2006",11,,
